Course Identifier,CO Identifier,CO Description,PO/PSO Identifier,PO/PSO Description,Score (0-3)
CI20303,CO2,Adapt different types of virtualization and increase resourcefulness utilization.,PSO1,"The ability to understand, analyze and develop computer programs in the area of computer science and to solve computer software and hardware related engineering problems.",1
CSE23305,CO5,Identify and implement different types of application in application layer.,PO2,"Problem analysis: Identify, formulate, research literature, and analyze complex engine room problems reaching support conclusions use first principles of maths, raw science, and engineering scientific discipline.",3
Major Project,CO2,"Develop a structured roadmap for executing the project applying fundamental engineering principles, ensuring that it aligns seamlessly with the predetermined timeline.",PO1,"Engineering knowledge: Apply the knowledge of mathematics, science, engineering fundamentals, and an engineering specialization for the solution of complex engineering problems.",0
CSE23304,CO5,Apply efficient data construction to solve specific problems.,PO4,"Conduct investigations of complex problems: Use research-based knowledge and including design of experiments, analysis and interpretation of data, and synthesis of the information to provide valid conclusions.",2
CI40136,CO5,Differentiate dissimilar architecture trends.,PO2,"Problem analysis: Identify, formulate, research literature, and analyze complex engineering problems reaching substantiated conclusions using first principles of mathematics, natural sciences, and engineering sciences.",0
CSE23307,CO2,Understand different algorithm design techniques and apply important algorithmic design paradigms.,PO4,"Conduct investigations of complex problems: Use research-based knowledge and including design of experiments, analysis and interpretation of data, and synthesis of the information to provide valid conclusions.",0
CSE21303,CO4,"Analyze and design Java programs using advanced features such as AWT, Applet, Swing, and Socket.",PO8,Ethics: Apply ethical principles and commit to professional ethics and responsibilities and norms of the engineering practice.,0
CSE23450,CO2,To delimitate an information technology Infrastructure and trace its components.,PSO1,"The ability to understand, analyze and develop computer programs in the area of computer science and to solve computer software and hardware related engineering problems.",3
CSE23320,CO4,IoT and Industry Covering Communications protocol and use of Database.,PO3,"Design/development of solutions: Design solutions for complex engineering problems and design system components or processes that meet the specified needs with appropriate consideration for public health and safety, and cultural, societal, and environmental considerations.",0
IT40138,CO4,Employment swarm Word for solving optimization problems in social application.,PO7,"Environment and sustainability: Understand the impact of the professional engineering solutions in societal and environmental contexts, and demonstrate the knowledge of, and need for sustainable development.",1
CSE23306,CO3,Analyze functional dependencies and normalize the database schema,PO11,"Project management and finance: Demonstrate knowledge and understanding of the engineering and management principles and apply these to one’s own work, as a member and leader in a team, to manage projects and in multidisciplinary environments.",1
CSE21308,CO2,"Analyze different memory in the hierarchy, their mapping and their performance.",PSO2,The ability to develop software systems to allow convenient use of computing systems and possess professional skills and knowledge of software design processes.,3
CSE23306,CO3,Analyze functional dependance and normalize the database schema,PSO2,The ability to develop software systems to allow convenient use of computing systems and possess professional skills and knowledge of software design processes.,3
CSE23450,CO4,"Able to analyze authentication, confidentiality and privacy issues in Cloud computing environment.",PO4,"Conduct investigations of complex problems: Use research-based knowledge and including design of experiments, analysis and interpretation of data, and synthesis of the information to provide valid conclusions.",0
CI20303,CO3,Build a individual swarm using open source engineering science.,PSO1,"The ability to understand, analyze and develop computer programs in the area of computer science and to solve computer software and hardware related engineering problems.",1
CSE23305,CO3,Analyze the functional principles and protocol of data link bed.,PSO1,"The ability to understand, analyze and develop computer programs in the area of computer science and to solve computer software and hardware related engineering problems.",3
