CO Description,PO/PSO Description,Score (0-3)
Evaluate hardness of dissimilar materials using dissimilar scales,"Life-long learning: Recognize the need for, and have the preparation and ability to engage in independent and life-long learning in the broadest context of technological change.",3
Understand safety measures to be keep up in workshop to avert accidents.,"Engineering knowledge: Apply the knowledge of mathematics, science, engineering fundamentals, and an engineering specialization for the solution of complex engineering problems.",1
Apply armory management technique.,"Life-long learning: Recognize the need for, and have the preparation and ability to engage in independent and life-long learning in the broadest context of technological change.",3
Understand working principles of vibration measuring instruments.,"Communication: Communicate effectively on complex engineering activities with the engineering community and with the society at large, such as, being able to comprehend and write effective reports and design documentation, make effective presentations, and give and receive clear instructions.",1
Design an machine controlled scheme for industrial application.,"Engineering knowledge: Apply the knowledge of mathematics, science, engineering fundamentals, and an engineering specialization for the solution of complex engineering problems.",2
Apply expert knowledge to real world industrial / rural situations,Apply their learning to design and develop basic mechanical systems and processes.,3
Apply SQL to find solution to basic inquiry.,"Life-long learning: Recognize the need for, and have the preparation and ability to engage in independent and life-long learning in the broadest context of technological change.",1
Evaluate the performance parameter of infrigidation organization.,Ethics: Apply ethical principles and commit to professional ethics and responsibilities and norms of the engineering practice.,2
Analyze preprocessing and identify different charles william post processing proficiency in AM,"Life-long learning: Recognize the need for, and have the preparation and ability to engage in independent and life-long learning in the broadest context of technological change.",1
Exhibit the basic understanding of non-conventional forming processes,"Design/development of solutions: Design solutions for complex engineering problems and design system components or processes that meet the specified needs with appropriate consideration for public health and safety, and cultural, societal, and environmental considerations.",0
Analyze the challenges to federal system and position of the President and the Prime Minister in the Union Government.,"Project management and finance: Demonstrate knowledge and understanding of the engineering and management principles and apply these to one’s own work, as a member and leader in a team, to manage projects and in multidisciplinary environments.",0
Evaluate the performance argument of refrigeration system.,Ethics: Apply ethical principles and commit to professional ethics and responsibilities and norms of the engineering practice.,2
Demonstrate the understanding of various fabrication process,"Communication: Communicate effectively on complex engineering activities with the engineering community and with the society at large, such as, being able to comprehend and write effective reports and design documentation, make effective presentations, and give and receive clear instructions.",0
"Evaluate and estimate the measure of planeness, plumpness and surface roughness.","Individual and team work: Function effectively as an individual, and as a member or leader in diverse teams, and in multidisciplinary settings.",0
Develop the skill and expertise in report composition.,Ethics: Apply ethical principles and commit to professional ethics and responsibilities and norms of the engineering practice.,3
"Apply periodic and preventative sustentation techniques as required for industrial equipments similar motors, pump and air compressors and machine dick etc.",Select manufacturing processes and their appropriate parameters for the production of typical engineering components.,2
Integrate the concepts of AI and IOT while designing a robotic automated system for various industrial applications.,Blue ribbon manufacturing processes and their appropriate parameters for the production of typical engineering constituent.,1
Understand orthographic projections of points and straight lines.,"Environment and sustainability: Sympathise the impact of the professional engineering solutions in societal and environmental context, and demonstrate the noesis of, and need for sustainable evolution.",0
